Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.1,4,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9140028
0.1,8,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9098166
0.1,10,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9129447
0.1,20,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.91434205
0.1,25,25,CrossEntropy,ADAM,LEAKYRELU,0.0,nan
0.01,4,25,CrossEntropy,ADAM,LEAKYRELU,0.24677251249766313,0.8442829
0.01,8,25,CrossEntropy,ADAM,LEAKYRELU,0.2478355374606056,0.84285223
0.01,10,25,CrossEntropy,ADAM,LEAKYRELU,0.006030801105605952,0.87110674
0.01,20,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.8765444
0.01,25,25,CrossEntropy,ADAM,LEAKYRELU,0.0,nan
0.001,4,25,CrossEntropy,ADAM,LEAKYRELU,0.7702532517842331,0.7871806
0.001,8,25,CrossEntropy,ADAM,LEAKYRELU,0.7590273684079354,0.78681254
0.001,10,25,CrossEntropy,ADAM,LEAKYRELU,0.7090778041030362,0.7827474
0.001,20,25,CrossEntropy,ADAM,LEAKYRELU,0.6682995218957765,0.79594386
0.001,25,25,CrossEntropy,ADAM,LEAKYRELU,0.6496573460631164,nan
0.0001,4,25,CrossEntropy,ADAM,LEAKYRELU,0.791047002800918,0.7808668
0.0001,8,25,CrossEntropy,ADAM,LEAKYRELU,0.7319126379368897,0.79633945
0.0001,10,25,CrossEntropy,ADAM,LEAKYRELU,0.7241293746032549,0.80190337
0.0001,20,25,CrossEntropy,ADAM,LEAKYRELU,0.6792976669081479,0.79878175
0.0001,25,25,CrossEntropy,ADAM,LEAKYRELU,0.607222941896319,nan
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.1,4,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9140007
0.1,8,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.91663766
0.1,10,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9129427
0.1,20,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.91433114
0.1,25,25,CrossEntropy,ADAM,LEAKYRELU,0.0,nan
0.2,4,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9140028
0.2,8,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9119016
0.2,10,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.912943
0.2,20,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9142922
0.2,25,25,CrossEntropy,ADAM,LEAKYRELU,0.0,nan
0.3,4,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.91400003
0.3,8,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.913357
0.3,10,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9129489
0.3,20,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.91434544
0.3,25,25,CrossEntropy,ADAM,LEAKYRELU,0.03794241549175438,nan
0.4,4,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.91399556
0.4,8,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9096185
0.4,10,25,CrossEntropy,ADAM,LEAKYRELU,0.07253988985454243,0.85689676
0.4,20,25,CrossEntropy,ADAM,LEAKYRELU,0.07453485644963673,0.8714682
0.4,25,25,CrossEntropy,ADAM,LEAKYRELU,0.0,nan
0.5,4,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9140021
0.5,8,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.91584694
0.5,10,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.9129405
0.5,20,25,CrossEntropy,ADAM,LEAKYRELU,0.0,0.91435885
0.5,25,25,CrossEntropy,ADAM,LEAKYRELU,0.0,nan
