Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.1,4,25,Tversky,SGD,LEAKYRELU,0.7303090162347136,-0.8022769
0.1,8,25,Tversky,SGD,LEAKYRELU,0.7801503289486502,-0.86502755
0.1,10,25,Tversky,SGD,LEAKYRELU,0.7632576981816122,-0.8487295
0.1,20,25,Tversky,SGD,LEAKYRELU,0.759629685449457,-0.85722387
0.1,25,25,Tversky,SGD,LEAKYRELU,0.7195200663282844,nan
0.2,4,25,Tversky,SGD,LEAKYRELU,0.8045012273054146,-0.86591136
0.2,8,25,Tversky,SGD,LEAKYRELU,0.7691947090112345,-0.85633284
0.2,10,25,Tversky,SGD,LEAKYRELU,0.7806325413159452,-0.87547094
0.2,20,25,Tversky,SGD,LEAKYRELU,0.7491667913044942,-0.8460425
0.2,25,25,Tversky,SGD,LEAKYRELU,0.7030655170439634,nan
0.3,4,25,Tversky,SGD,LEAKYRELU,0.8169418793531802,-0.86690557
0.3,8,25,Tversky,SGD,LEAKYRELU,0.7799182282115736,-0.8718296
0.3,10,25,Tversky,SGD,LEAKYRELU,0.7529141069337217,-0.84793603
0.3,20,25,Tversky,SGD,LEAKYRELU,0.7846915363416287,-0.8756159
0.3,25,25,Tversky,SGD,LEAKYRELU,0.7553996123133154,nan
0.4,4,25,Tversky,SGD,LEAKYRELU,0.7885971837766044,-0.86355436
0.4,8,25,Tversky,SGD,LEAKYRELU,0.7609805307509362,-0.87931967
0.4,10,25,Tversky,SGD,LEAKYRELU,0.7940126993654403,-0.8787793
0.4,20,25,Tversky,SGD,LEAKYRELU,0.741567793840764,-0.84254634
0.4,25,25,Tversky,SGD,LEAKYRELU,0.6973924353259102,nan
0.5,4,25,Tversky,SGD,LEAKYRELU,0.7987478158401053,-0.86141825
0.5,8,25,Tversky,SGD,LEAKYRELU,0.7998679061946617,-0.8921142
0.5,10,25,Tversky,SGD,LEAKYRELU,0.7813777420959809,-0.8225399
0.5,20,25,Tversky,SGD,LEAKYRELU,0.680020570423104,-0.7686723
0.5,25,25,Tversky,SGD,LEAKYRELU,0.7341739483854255,nan
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.3,4,10,Tversky,SGD,LEAKYRELU,0.725682439845149,-0.79004127
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.2,4,25,Tversky,SGD,LEAKYRELU,0.7950637769521681,-0.86199534
