Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.1,4,25,CrossEntropy,SGD,LEAKYRELU,0.802749273479747,-0.8715479
0.1,8,25,CrossEntropy,SGD,LEAKYRELU,0.7332506772553324,-0.84840906
0.1,10,25,CrossEntropy,SGD,LEAKYRELU,0.7787332197532331,-0.8310884
0.1,20,25,CrossEntropy,SGD,LEAKYRELU,0.7315889466598966,-0.83883846
0.1,25,25,CrossEntropy,SGD,LEAKYRELU,0.6744123218725674,nan
0.01,4,25,CrossEntropy,SGD,LEAKYRELU,0.720806082259919,-0.82025796
0.01,8,25,CrossEntropy,SGD,LEAKYRELU,0.6352714229280026,-0.75884235
0.01,10,25,CrossEntropy,SGD,LEAKYRELU,0.6028979572584119,-0.7364516
0.01,20,25,CrossEntropy,SGD,LEAKYRELU,0.498448768302212,-0.6286475
0.01,25,25,CrossEntropy,SGD,LEAKYRELU,0.3734896613829976,nan
0.001,4,25,CrossEntropy,SGD,LEAKYRELU,0.2108133736025482,-0.430538
0.001,8,25,CrossEntropy,SGD,LEAKYRELU,0.21130486770481033,-0.47043496
0.001,10,25,CrossEntropy,SGD,LEAKYRELU,0.21265919763831245,-0.3698664
0.001,20,25,CrossEntropy,SGD,LEAKYRELU,0.1592373759309829,-0.31358686
0.001,25,25,CrossEntropy,SGD,LEAKYRELU,0.2023010809681982,nan
0.0001,4,25,CrossEntropy,SGD,LEAKYRELU,0.16327595126855668,-0.31347758
0.0001,8,25,CrossEntropy,SGD,LEAKYRELU,0.09189842703788131,-0.2577101
0.0001,10,25,CrossEntropy,SGD,LEAKYRELU,0.08739941173873234,-0.28191915
0.0001,20,25,CrossEntropy,SGD,LEAKYRELU,0.07908082097398045,-0.2746687
0.0001,25,25,CrossEntropy,SGD,LEAKYRELU,0.1011756428619478,nan
