Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.001,1,25,CrossEntropy,ADAGRAD,TANH,0.8138496309514005,0.85030806
0.001,2,25,CrossEntropy,ADAGRAD,TANH,0.8329889352532038,0.8553499
0.001,4,25,CrossEntropy,ADAGRAD,TANH,0.8090530875879731,0.941632
0.001,8,25,CrossEntropy,ADAGRAD,TANH,0.7790016812117272,0.98630905
0.001,16,25,CrossEntropy,ADAGRAD,TANH,0.7714174373441682,0.98291534
0.001,32,25,CrossEntropy,ADAGRAD,TANH,0.7191291350064023,nan
0.001,64,25,CrossEntropy,ADAGRAD,TANH,0.5192499405730868,nan
0.005,1,25,CrossEntropy,ADAGRAD,TANH,0.8235888441819194,0.78235865
0.005,2,25,CrossEntropy,ADAGRAD,TANH,0.8164993562693287,0.78261137
0.005,4,25,CrossEntropy,ADAGRAD,TANH,0.8131280192812526,0.7851287
0.005,8,25,CrossEntropy,ADAGRAD,TANH,0.7234817876522012,0.8131267
0.005,16,25,CrossEntropy,ADAGRAD,TANH,0.6683430667350101,0.8502257
0.005,32,25,CrossEntropy,ADAGRAD,TANH,0.6652102846560296,nan
0.005,64,25,CrossEntropy,ADAGRAD,TANH,0.508898938500726,nan
0.01,1,25,CrossEntropy,ADAGRAD,TANH,0.8310369105694113,0.78186584
0.01,2,25,CrossEntropy,ADAGRAD,TANH,0.7921478919055918,0.7800041
0.01,4,25,CrossEntropy,ADAGRAD,TANH,0.7680557009072505,0.7839854
0.01,8,25,CrossEntropy,ADAGRAD,TANH,0.763771422215584,0.7917197
0.01,16,25,CrossEntropy,ADAGRAD,TANH,0.6753207995668855,0.80249405
0.01,32,25,CrossEntropy,ADAGRAD,TANH,0.5959997829391721,nan
0.01,64,25,CrossEntropy,ADAGRAD,TANH,0.31611657944309846,nan
0.05,1,25,CrossEntropy,ADAGRAD,TANH,0.7599143491520378,0.79137456
0.05,2,25,CrossEntropy,ADAGRAD,TANH,0.8035401531593955,0.77754414
0.05,4,25,CrossEntropy,ADAGRAD,TANH,0.7634708247963329,0.7839333
0.05,8,25,CrossEntropy,ADAGRAD,TANH,0.7156151351551564,0.7971107
0.05,16,25,CrossEntropy,ADAGRAD,TANH,0.6735812125135634,0.80421877
0.05,32,25,CrossEntropy,ADAGRAD,TANH,0.41584049340411855,nan
0.05,64,25,CrossEntropy,ADAGRAD,TANH,0.19528544283472232,nan
