Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
2,1,10,CrossEntropy,SGD,TANH,0,0.9137147
2,2,10,CrossEntropy,SGD,TANH,0,0.9139446
2,4,10,CrossEntropy,SGD,TANH,0,0.9139911
2,8,10,CrossEntropy,SGD,TANH,0,0.9217844
2,10,10,CrossEntropy,SGD,TANH,0,0.91293395
2,16,10,CrossEntropy,SGD,TANH,0,0.9118564
2,20,10,CrossEntropy,SGD,TANH,0,0.91430604
2,32,10,CrossEntropy,SGD,TANH,0,nan
1,1,10,CrossEntropy,SGD,TANH,0,0.91371477
1,2,10,CrossEntropy,SGD,TANH,0,0.9139487
1,4,10,CrossEntropy,SGD,TANH,0,0.9139968
1,8,10,CrossEntropy,SGD,TANH,0,0.9133772
1,10,10,CrossEntropy,SGD,TANH,0,0.912928
1,16,10,CrossEntropy,SGD,TANH,0,0.90972203
1,20,10,CrossEntropy,SGD,TANH,0,0.91430706
1,32,10,CrossEntropy,SGD,TANH,0,nan
0.1,1,10,CrossEntropy,SGD,TANH,0,0.91370744
0.1,2,10,CrossEntropy,SGD,TANH,0,0.91393125
0.1,4,10,CrossEntropy,SGD,TANH,0,0.91399556
0.1,8,10,CrossEntropy,SGD,TANH,0,0.9143764
0.1,10,10,CrossEntropy,SGD,TANH,0,0.91292477
0.1,16,10,CrossEntropy,SGD,TANH,0,0.9140103
0.1,20,10,CrossEntropy,SGD,TANH,0,0.91434675
0.1,32,10,CrossEntropy,SGD,TANH,0,nan
0.01,1,10,CrossEntropy,SGD,TANH,0.460601995,0.8322085
0.01,2,10,CrossEntropy,SGD,TANH,0.421364781,0.8422772
0.01,4,10,CrossEntropy,SGD,TANH,0.364319206,0.83940876
0.01,8,10,CrossEntropy,SGD,TANH,0.150583454,0.87067723
0.01,10,10,CrossEntropy,SGD,TANH,0.224210516,0.86410946
0.01,16,10,CrossEntropy,SGD,TANH,0.081119711,0.8898431
0.01,20,10,CrossEntropy,SGD,TANH,0.15576276,0.8923078
0.01,32,10,CrossEntropy,SGD,TANH,0.152613565,nan
0.001,1,10,CrossEntropy,SGD,TANH,0.348008061,0.8643137
0.001,2,10,CrossEntropy,SGD,TANH,0.219168837,0.91684806
0.001,4,10,CrossEntropy,SGD,TANH,0.293345558,0.87225115
0.001,8,10,CrossEntropy,SGD,TANH,0.388346856,0.8883103
0.001,10,10,CrossEntropy,SGD,TANH,0.315855862,0.95880175
0.001,16,10,CrossEntropy,SGD,TANH,0.251149981,1.1403631
0.001,20,10,CrossEntropy,SGD,TANH,0.199520916,1.0830498
0.001,32,10,CrossEntropy,SGD,TANH,0.363171599,nan
0.0001,1,10,CrossEntropy,SGD,TANH,0.220660543,0.89905614
0.0001,2,10,CrossEntropy,SGD,TANH,0.220630786,0.9513404
0.0001,4,10,CrossEntropy,SGD,TANH,0.438575574,1.0331277
0.0001,8,10,CrossEntropy,SGD,TANH,0.533649791,1.0819566
0.0001,10,10,CrossEntropy,SGD,TANH,0.140701117,1.142632
0.0001,16,10,CrossEntropy,SGD,TANH,0.17834182,1.1231221
0.0001,20,10,CrossEntropy,SGD,TANH,0.319671829,1.165359
0.0001,32,10,CrossEntropy,SGD,TANH,0.280776617,nan
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
