Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
2,1,10,CrossEntropy,SGD,TANH,0.47430780973498693,0.8425492
2,2,10,CrossEntropy,SGD,TANH,0.47952249877995595,0.8253043
2,4,10,CrossEntropy,SGD,TANH,0.4089201097097373,0.8508499
2,8,10,CrossEntropy,SGD,TANH,0.3108042370557808,0.8738359
2,10,10,CrossEntropy,SGD,TANH,0.25509578816585404,0.89631665
2,16,10,CrossEntropy,SGD,TANH,0.13526471394367806,0.91892993
2,20,10,CrossEntropy,SGD,TANH,0.0,0.93252236
2,32,10,CrossEntropy,SGD,TANH,0.0,nan
1,1,10,CrossEntropy,SGD,TANH,0.5011438716553521,0.8454744
1,2,10,CrossEntropy,SGD,TANH,0.5752861384245362,0.82542914
1,4,10,CrossEntropy,SGD,TANH,0.5936259699215175,0.8297497
1,8,10,CrossEntropy,SGD,TANH,0.355587943856512,0.8842626
1,10,10,CrossEntropy,SGD,TANH,0.38415835055299874,0.87444246
1,16,10,CrossEntropy,SGD,TANH,0.0310101698056246,0.941591
1,20,10,CrossEntropy,SGD,TANH,0.0,0.9753787
1,32,10,CrossEntropy,SGD,TANH,0.13711663436119742,nan
0.1,1,10,CrossEntropy,SGD,TANH,0.43036762301457737,0.8295574
0.1,2,10,CrossEntropy,SGD,TANH,0.3485853347645599,0.85642684
0.1,4,10,CrossEntropy,SGD,TANH,0.45864563460699265,0.91084784
0.1,8,10,CrossEntropy,SGD,TANH,0.3233374932709639,1.0699055
0.1,10,10,CrossEntropy,SGD,TANH,0.2543764273327678,1.1096087
0.1,16,10,CrossEntropy,SGD,TANH,0.19779556641724583,1.2015512
0.1,20,10,CrossEntropy,SGD,TANH,0.15612060663451482,1.2004279
0.1,32,10,CrossEntropy,SGD,TANH,0.17113329898296975,nan
0.01,1,10,CrossEntropy,SGD,TANH,0.26299667680627803,0.9904801
0.01,2,10,CrossEntropy,SGD,TANH,0.19767673615874104,1.1434644
0.01,4,10,CrossEntropy,SGD,TANH,0.22568828230973664,1.2363994
0.01,8,10,CrossEntropy,SGD,TANH,0.1941385003631726,1.2881447
0.01,10,10,CrossEntropy,SGD,TANH,0.20756494268549078,1.2983363
0.01,16,10,CrossEntropy,SGD,TANH,0.19880966909311787,1.3046241
0.01,20,10,CrossEntropy,SGD,TANH,0.17553374639898245,1.3318682
0.01,32,10,CrossEntropy,SGD,TANH,0.12668691743981125,nan
0.001,1,10,CrossEntropy,SGD,TANH,0.17603611523001503,1.3052717
0.001,2,10,CrossEntropy,SGD,TANH,0.13289923403025083,1.3268466
0.001,4,10,CrossEntropy,SGD,TANH,0.18299535776380568,1.3369539
0.001,8,10,CrossEntropy,SGD,TANH,0.15489752923795877,1.3617471
0.001,10,10,CrossEntropy,SGD,TANH,0.15640864481215655,1.357301
0.001,16,10,CrossEntropy,SGD,TANH,0.1282885718616138,1.3408169
0.001,20,10,CrossEntropy,SGD,TANH,0.11423994346122364,1.349479
0.001,32,10,CrossEntropy,SGD,TANH,0.07521667953775844,nan
0.0001,1,10,CrossEntropy,SGD,TANH,0.1472626909614243,1.3510137
0.0001,2,10,CrossEntropy,SGD,TANH,0.14907666986942775,1.368852
0.0001,4,10,CrossEntropy,SGD,TANH,0.13298679963608806,1.3666716
0.0001,8,10,CrossEntropy,SGD,TANH,0.0688821853582106,1.4056559
0.0001,10,10,CrossEntropy,SGD,TANH,0.12249386323664455,1.3641014
0.0001,16,10,CrossEntropy,SGD,TANH,0.1222929100001446,1.3821301
0.0001,20,10,CrossEntropy,SGD,TANH,0.12220330124340979,1.3906829
0.0001,32,10,CrossEntropy,SGD,TANH,0.06435129833846628,nan
