Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
1,1,10,Tversky,SGD,TANH,0.692593728,0.22122827
1,2,10,Tversky,SGD,TANH,0.28846038,0.35198063
1,4,10,Tversky,SGD,TANH,0.161624008,0.51600087
1,8,10,Tversky,SGD,TANH,0.216374836,0.5894599
1,16,10,Tversky,SGD,TANH,0.385763092,0.64008784
1,32,10,Tversky,SGD,TANH,0.226765914,nan
0.1,1,10,Tversky,SGD,TANH,0.309924637,0.60419
0.1,2,10,Tversky,SGD,TANH,0.297376684,0.5650685
0.1,4,10,Tversky,SGD,TANH,0.348373377,0.63908106
0.1,8,10,Tversky,SGD,TANH,0.244998449,0.67922086
0.1,16,10,Tversky,SGD,TANH,0.207986025,0.70287585
0.1,32,10,Tversky,SGD,TANH,0.174432469,nan
0.01,1,10,Tversky,SGD,TANH,0.243011258,0.68978107
0.01,2,10,Tversky,SGD,TANH,0.218020712,0.7060002
0.01,4,10,Tversky,SGD,TANH,0.158455024,0.72346514
0.01,8,10,Tversky,SGD,TANH,0.19103051,0.7171515
0.01,16,10,Tversky,SGD,TANH,0.151974222,0.72302425
0.01,32,10,Tversky,SGD,TANH,0.16506049,nan
0.001,1,10,Tversky,SGD,TANH,0.131941059,0.7247461
0.001,2,10,Tversky,SGD,TANH,0.15831947,0.7316898
0.001,4,10,Tversky,SGD,TANH,0.133855958,0.7516819
0.001,8,10,Tversky,SGD,TANH,0.155799465,0.74936557
0.001,16,10,Tversky,SGD,TANH,0.155259419,0.75712264
0.001,32,10,Tversky,SGD,TANH,0.115572881,nan
0.0001,1,10,Tversky,SGD,TANH,0.151587959,0.7514055
0.0001,2,10,Tversky,SGD,TANH,0.135764465,0.7537562
0.0001,4,10,Tversky,SGD,TANH,0.120259666,0.7626459
0.0001,8,10,Tversky,SGD,TANH,0.1089605,0.7617111
0.0001,16,10,Tversky,SGD,TANH,0.044329757,0.76935935
0.0001,32,10,Tversky,SGD,TANH,0.080122599,nan
1.00E-05,1,10,Tversky,SGD,TANH,0.113257192,0.76804817
1.00E-05,2,10,Tversky,SGD,TANH,0.100819843,0.7584876
1.00E-05,4,10,Tversky,SGD,TANH,0.065705882,0.77333593
1.00E-05,8,10,Tversky,SGD,TANH,0.083634927,0.77764684
1.00E-05,16,10,Tversky,SGD,TANH,0.093900533,0.7707068
1.00E-05,32,10,Tversky,SGD,TANH,0.109715775,nan
