name,dice
"RELU, CROSS, SGD",0.839462887
"RELU, TVERSKY,SGD",0.829902663
"RELU, CROSS,  ADAM",0.824661876
"RELU, TVERSKY, ADAM",0.830392059
"RELU, CROSS, ADAGRAD",0.81451496
"RELU, TVERSKY, ADAGRAD",0.771562412
"TANH, CROSS, SGD",0.59362597
"TANH, TVERSKY, SGD",0.692593728
"TANH, CROSS, ADAM",0.533649791
"TANH, TVERSKY, ADAM",0.6919087
"TANH, CROSS, ADAGRAD",0.831036911
"TANH, TVERSKY, ADAGRAD",0.844193574
"LEAKY RELU, CROSS, SGD",0.734427558
"LEAKY RELU, TVERSKY, SGD",0.816941879
"LEAKY RELU, CROSS, ADAM",0.791047003
"LEAKY RELU, TVERSKY, ADAM",0.847885482
"LEAKY RELU, CROSS, ADAGRAD",0.83219159
"LEAKY RELU, TVERSKY, ADAGRAD",0.857603741
