Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.1,2,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.83219159,0.7775911
0.1,4,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.805512527,0.7860089
0.1,8,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.556108087,0.83887875
0.1,16,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.180743754,0.9139949
0.1,32,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.153233839,nan
0.01,2,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.174375802,0.8963745
0.01,4,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.119645158,0.9509857
0.01,8,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.140490642,1.0214325
0.01,16,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.139090122,1.1001334
0.01,32,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.176649395,nan
0.001,2,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.179159193,1.1573489
0.001,4,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.160207224,1.217967
0.001,8,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.152797834,1.2722018
0.001,16,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.155597582,1.2950641
0.001,32,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.127003363,nan
0.0001,2,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.167611945,1.3510201
0.0001,4,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.124761261,1.351694
0.0001,8,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.143870151,1.3560688
0.0001,16,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.082427277,1.4142202
0.0001,32,25,CrossEntropy,ADAGRAD,LEAKYRELU,0.081120137,nan
,,,,,,,
,,,1.65,hours ,per each row,,
