Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.1,4,25,CrossEntropy,SGD,LEAKYRELU,0.7344275580171897,0.7866583
0.1,8,25,CrossEntropy,SGD,LEAKYRELU,0.7151333863264477,0.7926928
0.1,10,25,CrossEntropy,SGD,LEAKYRELU,0.7195333699623966,0.786692
0.1,20,25,CrossEntropy,SGD,LEAKYRELU,0.6787614015559462,0.7953903
0.1,25,25,CrossEntropy,SGD,LEAKYRELU,0.5871232651561883,nan
0.01,4,25,CrossEntropy,SGD,LEAKYRELU,0.6538500909831859,0.8171337
0.01,8,25,CrossEntropy,SGD,LEAKYRELU,0.4289576412917688,0.86216164
0.01,10,25,CrossEntropy,SGD,LEAKYRELU,0.4002258429456533,0.8638855
0.01,20,25,CrossEntropy,SGD,LEAKYRELU,0.2890289330434165,0.87389976
0.01,25,25,CrossEntropy,SGD,LEAKYRELU,0.27115967228517834,nan
0.001,4,25,CrossEntropy,SGD,LEAKYRELU,0.0004895490440541654,0.90010655
0.001,8,25,CrossEntropy,SGD,LEAKYRELU,0.22395968047633036,0.9134089
0.001,10,25,CrossEntropy,SGD,LEAKYRELU,0.14860341099285307,0.94554377
0.001,20,25,CrossEntropy,SGD,LEAKYRELU,0.13345452739352842,0.9772683
0.001,25,25,CrossEntropy,SGD,LEAKYRELU,0.04514871333992267,nan
0.0001,4,25,CrossEntropy,SGD,LEAKYRELU,0.1484769290351249,1.0589705
0.0001,8,25,CrossEntropy,SGD,LEAKYRELU,0.13246638683727427,1.288907
0.0001,10,25,CrossEntropy,SGD,LEAKYRELU,0.11232422137956968,1.1286747
0.0001,20,25,CrossEntropy,SGD,LEAKYRELU,0.12245106443526806,1.3845797
0.0001,25,25,CrossEntropy,SGD,LEAKYRELU,0.12242071483262293,nan
