Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.001,1,25,Tversky,ADAGRAD,TANH,0.824839528,-0.695403
0.001,2,25,Tversky,ADAGRAD,TANH,0.844193574,-0.5856916
0.001,4,25,Tversky,ADAGRAD,TANH,0.759367276,-0.46964034
0.001,8,25,Tversky,ADAGRAD,TANH,0.779111986,-0.43845463
0.001,16,25,Tversky,ADAGRAD,TANH,0.688237608,-0.39208397
0.001,32,25,Tversky,ADAGRAD,TANH,0.676032262,nan
0.001,64,25,Tversky,ADAGRAD,TANH,0.58087468,nan
0.003,1,25,Tversky,ADAGRAD,TANH,0.815319482,-0.85240763
0.003,2,25,Tversky,ADAGRAD,TANH,0.836049032,-0.8720352
0.003,4,25,Tversky,ADAGRAD,TANH,0.810221132,-0.83516663
0.003,8,25,Tversky,ADAGRAD,TANH,0.817710363,-0.74742144
0.003,16,25,Tversky,ADAGRAD,TANH,0.739053257,-0.5387479
0.003,32,25,Tversky,ADAGRAD,TANH,0.657117817,nan
0.003,64,25,Tversky,ADAGRAD,TANH,0.505567678,nan
0.005,1,25,Tversky,ADAGRAD,TANH,0.810515675,-0.8502924
0.005,2,25,Tversky,ADAGRAD,TANH,0.812686653,-0.8492433
0.005,4,25,Tversky,ADAGRAD,TANH,0.814465112,-0.85631764
0.005,8,25,Tversky,ADAGRAD,TANH,0.777769138,-0.85143447
0.005,16,25,Tversky,ADAGRAD,TANH,0.750211015,-0.7470443
0.005,32,25,Tversky,ADAGRAD,TANH,0.640308817,nan
0.005,64,25,Tversky,ADAGRAD,TANH,0.451759252,nan
0.007,1,25,Tversky,ADAGRAD,TANH,0.75677577,-0.8097437
0.007,2,25,Tversky,ADAGRAD,TANH,0.798952128,-0.8508546
0.007,4,25,Tversky,ADAGRAD,TANH,0.786534559,-0.86634856
0.007,8,25,Tversky,ADAGRAD,TANH,0.770877604,-0.84032977
0.007,16,25,Tversky,ADAGRAD,TANH,0.724880872,-0.74916947
0.007,32,25,Tversky,ADAGRAD,TANH,0.667241153,nan
0.007,64,25,Tversky,ADAGRAD,TANH,0.513371816,nan
0.009,1,25,Tversky,ADAGRAD,TANH,0.814525685,-0.857103
0.009,2,25,Tversky,ADAGRAD,TANH,0.800846774,-0.8607248
0.009,4,25,Tversky,ADAGRAD,TANH,0.801671476,-0.8621472
0.009,8,25,Tversky,ADAGRAD,TANH,0.739192529,-0.8126415
0.009,16,25,Tversky,ADAGRAD,TANH,0.710303554,-0.7864313
0.009,32,25,Tversky,ADAGRAD,TANH,0.563643221,nan
0.009,64,25,Tversky,ADAGRAD,TANH,0.483531262,nan
