Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
Learning Rate,Batch Size,Epochs,Loss Function,Optimizer,Activation,Mean Dice,Validation Loss
0.001,1,10,Tversky,ADAM,TANH,0.5042376945953649,-0.62966335
0.001,2,10,Tversky,ADAM,TANH,0.33881646582236963,-0.5518017
0.001,4,10,Tversky,ADAM,TANH,0.43980657201162077,-0.48617077
0.001,8,10,Tversky,ADAM,TANH,0.20801770894338642,-0.42274287
0.001,16,10,Tversky,ADAM,TANH,0.37020435877721,-0.36941728
0.001,32,10,Tversky,ADAM,TANH,0.2783584570148475,nan
0.001,64,10,Tversky,ADAM,TANH,0.29015869307110875,nan
0.003,1,10,Tversky,ADAM,TANH,0.6670518415285211,-0.7469202
0.003,2,10,Tversky,ADAM,TANH,0.6530381099374136,-0.73725605
0.003,4,10,Tversky,ADAM,TANH,0.31420053724711655,-0.6010385
0.003,8,10,Tversky,ADAM,TANH,0.4602529927855352,-0.4753378
0.003,16,10,Tversky,ADAM,TANH,0.1920604339827478,-0.40193242
0.003,32,10,Tversky,ADAM,TANH,0.2703997695243197,nan
0.003,64,10,Tversky,ADAM,TANH,0.16338773230312137,nan
0.005,1,10,Tversky,ADAM,TANH,0.691908754666885,-0.7654892
0.005,2,10,Tversky,ADAM,TANH,0.5962797779339191,-0.6863839
0.005,4,10,Tversky,ADAM,TANH,0.38387676193600606,-0.66274047
0.005,8,10,Tversky,ADAM,TANH,0.2598549073962881,-0.5186026
0.005,16,10,Tversky,ADAM,TANH,0.22293694202579642,-0.4373026
0.005,32,10,Tversky,ADAM,TANH,0.344265750431881,nan
0.005,64,10,Tversky,ADAM,TANH,0.19726878850975338,nan
0.007,1,10,Tversky,ADAM,TANH,0.6132636931523145,-0.7055715
0.007,2,10,Tversky,ADAM,TANH,0.6548732571369801,-0.74087703
0.007,4,10,Tversky,ADAM,TANH,0.3040031854162754,-0.6336968
0.007,8,10,Tversky,ADAM,TANH,0.09095491013075421,-0.5380241
0.007,16,10,Tversky,ADAM,TANH,0.15257947840279745,-0.41953552
0.007,32,10,Tversky,ADAM,TANH,0.36977215410519826,nan
0.007,64,10,Tversky,ADAM,TANH,0.19500008792508755,nan
0.009000000000000001,1,10,Tversky,ADAM,TANH,0.6814353391063348,-0.76187134
0.009000000000000001,2,10,Tversky,ADAM,TANH,0.6634161834046093,-0.7329952
0.009000000000000001,4,10,Tversky,ADAM,TANH,0.6191471620852841,-0.72294444
0.009000000000000001,8,10,Tversky,ADAM,TANH,0.2774339724246385,-0.5935843
0.009000000000000001,16,10,Tversky,ADAM,TANH,0.08984886373292586,-0.48958492
0.009000000000000001,32,10,Tversky,ADAM,TANH,0.3022110882907937,nan
0.009000000000000001,64,10,Tversky,ADAM,TANH,0.20679992143019618,nan
